rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.66967/jaics.2026.v2i103,Multimodal AI: PaLM-E’s Role in Vision–Language–Robotics & the Future of Efficient Fine-Tuning,2026,Journal of Artificial Intelligence & Control Systems,https://doi.org/10.66967/jaics.2026.v2i103,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1007/s44267-025-00075-0,MIRSAM: multimodal vision-language segment anything model for infrared small target detection,2025,Visual Intelligence,https://doi.org/10.1007/s44267-025-00075-0,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.4018/979-8-3373-7315-7.ch009,Vision Language Models in Healthcare Through a Multimodal Approach to Medical Imaging and Clinical Applications,2026,Advances in Computational Intelligence and Robotics Vision Language Models for Next-Generation Healthcare,https://doi.org/10.4018/979-8-3373-7315-7.ch009,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2511.05397v1,EveryDayVLA: A Vision-Language-Action Model for Affordable Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.05397v1,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/s25196163,VLA-MP: A Vision-Language-Action Framework for Multimodal Perception and Physics-Constrained Action Generation in Autonomous Driving,2025,Sensors,https://doi.org/10.3390/s25196163,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1049/cvi2.12268,OmDet: Large‐scale vision‐language multi‐dataset pre‐training with multimodal detection network,2024,IET Computer Vision,https://doi.org/10.1049/cvi2.12268,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1007/s11370-025-00686-y,"Application of multimodal learning in robotic perception: an intelligent perception framework integrating vision, sound, and touch",2026,Intelligent Service Robotics,https://doi.org/10.1007/s11370-025-00686-y,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2502.14420v2,ChatVLA: Unified Multimodal Understanding and Robot Control with Vision-Language-Action Model,2025,arXiv,http://arxiv.org/abs/2502.14420v2,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,2025,Applied and Computational Engineering,https://doi.org/10.54254/2755-2721/2025.ast27134,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1016/j.inffus.2025.103575,Object Detection with Multimodal Large Vision-Language Models: An In-depth Review,2025,arXiv,http://arxiv.org/abs/2508.19294v2,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.3390/s25185898,Multimodal Large Language Model-Enabled Machine Intelligent Fault Diagnosis Method with Non-Contact Dynamic Vision Data,2025,Sensors,https://doi.org/10.3390/s25185898,Addresses multimodal robot world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Visuotactile world model disagreement keeps action-critical alternatives explicit until a physical observation collapses them.
